d_angular_velocity_head_w_dwelling_abs_50th,median angular acceleration of head while dwelling
d_angular_velocity_head_w_dwelling_abs_90th,maximum angular acceleration of head while dwelling
d_angular_velocity_head_w_roaming_abs_10th,minimum angular acceleration of head while roaming
d_angular_velocity_head_w_roaming_abs_50th,median angular acceleration of head while roaming
d_angular_velocity_head_w_roaming_abs_90th,maximum angular acceleration of head while roaming
d_angular_velocity_head_w_sprinting_abs_10th,minimum angular acceleration of head while sprinting
d_angular_velocity_head_w_sprinting_abs_50th,median angular acceleration of head while sprinting
d_angular_velocity_head_w_sprinting_abs_90th,maximum angular acceleration of head while sprinting
d_angular_velocity_midbody_w_dwelling_abs_10th,minimum angular acceleration of midbody while dwelling
d_angular_velocity_midbody_w_dwelling_abs_50th,median angular acceleration of midbody while dwelling
d_angular_velocity_midbody_w_dwelling_abs_90th,maximum angular acceleration of midbody while dwelling
d_angular_velocity_midbody_w_roaming_abs_10th,minimum angular acceleration of midbody while roaming
d_angular_velocity_midbody_w_roaming_abs_50th,median angular acceleration of midbody while roaming
d_angular_velocity_midbody_w_roaming_abs_90th,maximum angular acceleration of midbody while roaming
d_angular_velocity_midbody_w_sprinting_abs_10th,minimum angular acceleration of midbody while sprinting
d_angular_velocity_midbody_w_sprinting_abs_50th,median angular acceleration of midbody while sprinting
d_angular_velocity_midbody_w_sprinting_abs_90th,maximum angular acceleration of midbody while sprinting
d_angular_velocity_tail_w_dwelling_abs_10th,minimum angular acceleration of tail while dwelling
d_angular_velocity_tail_w_dwelling_abs_50th,median angular acceleration of tail while dwelling
d_angular_velocity_tail_w_dwelling_abs_90th,maximum angular acceleration of tail while dwelling
d_angular_velocity_tail_w_roaming_abs_10th,minimum angular acceleration of tail while roaming
d_angular_velocity_tail_w_roaming_abs_50th,median angular acceleration of tail while roaming
d_angular_velocity_tail_w_roaming_abs_90th,maximum angular acceleration of tail while roaming
d_angular_velocity_tail_w_sprinting_abs_10th,minimum angular acceleration of tail while sprinting
d_angular_velocity_tail_w_sprinting_abs_50th,median angular acceleration of tail while sprinting
d_angular_velocity_tail_w_sprinting_abs_90th,maximum angular acceleration of tail while sprinting
d_bounding_box_ratio_10th,minimum rate of change of bounding box ratio
d_bounding_box_ratio_50th,median rate of change of bounding box ratio
d_bounding_box_ratio_90th,maximum rate of change of bounding box ratio
d_bounding_box_ratio_w_dwelling_10th,minimum rate of change of bounding box ratio while dwelling
d_bounding_box_ratio_w_dwelling_50th,median rate of change of bounding box ratio while dwelling
d_bounding_box_ratio_w_dwelling_90th,maximum rate of change of bounding box ratio while dwelling
d_bounding_box_ratio_w_quiescence_10th,minimum rate of change of bounding box ratio while quiescent
d_bounding_box_ratio_w_quiescence_50th,median rate of change of bounding box ratio while quiescent
d_bounding_box_ratio_w_quiescence_90th,maximum rate of change of bounding box ratio while quiescent
d_bounding_box_ratio_w_roaming_10th,minimum rate of change of bounding box ratio while roaming
d_bounding_box_ratio_w_roaming_50th,median rate of change of bounding box ratio while roaming
d_bounding_box_ratio_w_roaming_90th,maximum rate of change of bounding box ratio while roaming
d_bounding_box_ratio_w_sprinting_10th,minimum rate of change of bounding box ratio while sprinting
d_bounding_box_ratio_w_sprinting_50th,median rate of change of bounding box ratio while sprinting
d_bounding_box_ratio_w_sprinting_90th,maximum rate of change of bounding box ratio while sprinting
d_curvature_head_w_dwelling_abs_10th,minimum bend speed of head while dwelling
d_curvature_head_w_dwelling_abs_50th,median bend speed of head while dwelling
d_curvature_head_w_dwelling_abs_90th,maximum bend speed of head while dwelling
d_curvature_head_w_quiescence_abs_10th,minimum bend speed of head while quiescent
d_curvature_head_w_quiescence_abs_50th,median bend speed of head while quiescent
d_curvature_head_w_quiescence_abs_90th,maximum bend speed of head while quiescent
d_curvature_head_w_roaming_abs_10th,minimum bend speed of head while roaming
d_curvature_head_w_roaming_abs_50th,median bend speed of head while roaming
d_curvature_head_w_roaming_abs_90th,maximum bend speed of head while roaming
d_curvature_head_w_sprinting_abs_10th,minimum bend speed of head while sprinting
d_curvature_head_w_sprinting_abs_50th,median bend speed of head while sprinting
d_curvature_head_w_sprinting_abs_90th,maximum bend speed of head while sprinting
d_curvature_midbody_w_dwelling_abs_10th,minimum bend speed of midbody while dwelling
d_curvature_midbody_w_dwelling_abs_50th,median bend speed of midbody while dwelling
d_curvature_midbody_w_dwelling_abs_90th,maximum bend speed of midbody while dwelling
d_curvature_midbody_w_quiescence_abs_10th,minimum bend speed of midbody while quiescent
d_curvature_midbody_w_quiescence_abs_50th,median bend speed of midbody while quiescent
d_curvature_midbody_w_quiescence_abs_90th,maximum bend speed of midbody while quiescent
d_curvature_midbody_w_roaming_abs_10th,minimum bend speed of midbody while roaming
d_curvature_midbody_w_roaming_abs_50th,median bend speed of midbody while roaming
d_curvature_midbody_w_roaming_abs_90th,maximum bend speed of midbody while roaming
d_curvature_midbody_w_sprinting_abs_10th,minimum bend speed of midbody while sprinting
d_curvature_midbody_w_sprinting_abs_50th,median bend speed of midbody while sprinting
